Surah Name,Main Content,Icon Prompt
Al-Munafiqun,Hypocrisy,"A smiling mask icon and a sad mask icon side by side, pastel yellow and grey, flat style. Symbolizes two faces of hypocrisy (no text or people, just abstract masks)."
At-Taghabun,Material loss,"Stacked coins in two piles (one taller), pastel gold and beige, flat design. Symbolic of worldly gain versus loss (no currency marks)."
At-Talaq,Divorce rules,"A broken ring icon on a pastel background, flat style. Simple symbol for separation/divorce, no people."
At-Tahrim,Personal vows,"A locked door with a keyhole shape, pastel blue and white, flat style. Symbolizes forbidden matters and keeping oaths, no text or people."
Al-Mulk,Sovereignty of God,"A golden crown floating above a globe, pastel gold and blue, flat style. Represents God’s dominion over earth, no figure or text."
Al-Qalam,Pen and truth,"A feather quill with ink pot, pastel brown on cream, flat cartoon style. Symbolizes the pen and Divine writing, no text or characters."
Al-Haqqa,Judgment Day,"A bright sunrise over a flat horizon, pastel orange and pink, flat style. Symbolic of the undeniable day of judgment dawning (no people)."
Al-Ma'arij,Ascending paths,"A simple staircase ascending into a star or light, pastel yellow and blue, flat vector. Suggests the elevation to God, no people."
Nuh,Noah’s ark,"A rainbow spanning across a simple ocean wave, pastel rainbow colors, flat style. Abstractly hints at Noah’s story (rainbow as covenant), no animals or ark drawn."
Al-Jinn,Hidden world,"A swirling mist or smoke shape in pastel grey and teal, flat style. Evokes mysterious unseen beings (no creature detail), simple and abstract."
Al-Muzzammil,Night vigil,"A simple sleeping cap on a crescent moon, pastel blue and white, flat style. Symbolizes night prayer/wakefulness in a friendly way, no person shown."
Al-Muddathir,Divine warning,"A white sheet (rectangle) with pointed end, pastel white on purple background, flat. Represents a covered one giving a warning (no words, like the Prophet wrapped in cloth)."
Al-Qiyama,Resurrection day,"A morning sun with rays just above a flat horizon, pastel yellow and pink, flat style. Represents resurrection Day dawning, no text or figures."
Al-Insan,Human journey,"A small sprouting seed (green shoot) on earth, pastel green and brown, flat style. Symbolizes the beginning of humanity and growth (no figure)."
Al-Mursalat,Scattering winds,"Multiple wind-blown leaves or lines flowing from left to right, pastel green and white, flat style. Symbolizes powerful winds sent forth, no letters."
An-Naba,Great news,"A simple exclamation mark inside an open book icon (abstract) in pastel blue, flat style. Indicates a question/announcement in a child-friendly symbol (no text letters)."
An-Nazi'at,Angelic winds,"A wing-like curved swoosh, pastel blue on light grey, flat style. Symbolizes angels pulling souls (no figure), or a sweeping motion."
Abasa,Blind man's lesson,"A small eye icon with a stylized tear drop, pastel yellow on purple, flat style. Represents the blind man’s test (no face, just abstract iconography)."
At-Takwir,End of day,"A sun partially covered by a dark circle, pastel orange and dark blue, flat style. Symbolizes the sun folding up at day’s end (no text)."
Al-Infitar,Heavenly split,"A cracked circle or globe shape (like cracked earth) in pastel blue, flat style. Represents the sky splitting open, abstract and childlike."
Al-Mutaffifin,Honesty,"Two unequally balanced scales (one side higher), pastel pink and purple, flat cartoon style. Symbolizes cheating in measure vs honest measure, no text."
Al-Inshiqaq,Sky裂,"A simple sky with a jagged crack and light coming through, pastel yellow and blue, flat style. Depicts heaven splitting open, abstract and non-literal."
Al-Buruj,Constellations,"A cluster of five white star shapes in a circle, pastel dark blue background, flat. Symbolizes a constellation (star cluster) in childlike form."
At-Tariq,Night star,"A single bright star with beams, pastel white on dark blue, flat style. Symbolizes the “night visitor” star, simple and friendly."
Al-A'la,Most High,"An arrow pointing straight upward toward a small star, pastel gold and blue, flat. Symbolizes ascent to the Most High, simple shapes, no text."
Al-Ghashiya,Overwhelming judgment,"A large dark cloud above a small city silhouette (outline) with light on the horizon, pastel grey and orange, flat style. Abstractly suggests impending events, no people."
Al-Fajr,Dawn,"A stylized horizon with a half-sun peeking up, pastel pink and orange, flat style. Evokes the dawn (no text or living shapes)."
Al-Balad,City trial,"A simple city skyline with one tall building, pastel grey and purple, flat style. Symbolizes urban hardship/testing (no people)."
Ash-Shams,Sun,"A large bright sun with radiating rays, pastel yellow on blue, flat style. Represents the sun simply, friendly and no text."
Al-Lail,Night,"A crescent moon on a dark blue background with a star, pastel white and blue, flat style. Represents night with no detail."
Ad-Duha,Morning brightness,"A sun rising between clouds, pastel light blue and yellow, flat style. Symbolizes morning light, simple shapes."
Al-Inshirah,Comfort,"A burst of light rays from a central point, pastel yellow on white, flat style. Symbolizes expansion of heart and relief, abstract and cheerful."
At-Teen,Fig,"A simple fig fruit with one leaf, pastel green and purple, flat cartoon style. Represents the fig (no text)."
Al-Alaq,Creation,"A small water droplet turning into a seedling, pastel blue and green, flat style. Symbolizes creation from clot (abstractly as water to plant)."
Al-Qadr,Night of power,"A sky with one star in a dark blue field, pastel white on navy, flat style. Symbolizes the Night of Power, simple star icon."
Al-Bayyinah,Clear evidence,"A glowing lamp with halo, pastel orange and white, flat style. Represents the clear proof (lamp as symbol), no text."
Az-Zalzalah,Earthquake,"Two jagged lines splitting the ground, pastel brown and gray, flat style. Symbolizes an earthquake, abstract cracks."
Al-Adiyat,Horses charging,"A series of curved motion lines (like speed lines) moving left to right, pastel red on beige, flat style. Suggests fast movement and energy, no animals drawn."
Al-Qari'a,Catastrophe,"A stylized hammer hitting ground, pastel grey and red, flat style. Symbolizes a catastrophic event (no text)."
At-Takathur,Greed,"Four stacked coins with a line across, pastel gold, flat style. Symbolizes obsession with increase (no currency mark)."
Al-Asr,Time and righteousness,"An analog clock face showing a few minutes to an hour, pastel blue on white, flat style. Symbolizes time, simple and clear."
Al-Humazah,Backbiting,"A tongue with little speech lines curling away, pastel pink on grey, flat style. Suggests gossip (no people)."
Al-Fil,Elephant and army,"A small stone falling from above onto an abstract fort wall, pastel gray and green, flat style. Symbolizes the protective miracle (no animals)."
Quraysh,Tribe and protection,"A simple Kaaba cube (flat top-down view) with light rays shining, pastel black and gold, flat style. Symbolizes Quraysh’s covenant of protection (no text or person)."
Al-Ma'un,Small kindness,"Two hands (one giving a coin to the other) drawn in outline, pastel blue on white, flat style. Symbolizes simple charity (no faces)."
Al-Kawthar,Abundance,"A large overflowing bowl or fountain with water pouring, pastel teal and white, flat style. Symbolizes abundant gift (no text or person)."
Al-Kafirun,Disbelief,"A crossed-out sign (circle with slash) in front of a building silhouette, pastel red on light grey, flat style. Symbolizes refusal and distinction of worship, no text."
An-Nasr,Help and victory,"A simple waving flag on a pole, pastel blue and white, flat style. Symbolizes victory and aid (no faces or text)."
Al-Masad,Flame,"A stylized flame icon with three pointed tongues, pastel orange on white, flat style. Represents Abu Lahab’s fate by fire (no person)."
Al-Ikhlas,Monotheism,"A single shining circle of light, pastel yellow on dark blue, flat. Symbolizes the oneness of God (simple and pure design)."
Al-Falaq,Daybreak protection,"A sun partially rising behind stylized hills, pastel orange and blue, flat style. Symbolizes daybreak and seeking refuge from evil:contentReference[oaicite:11]{index=11}."
An-Nas,Mankind and refuge,"A large protective shield shape with a small heart at its center, pastel teal and white, flat style. Symbolizes seeking God’s protection for all people, abstract and face-less."
